"Season","Team","Conference","StatName","StatValue"
"2023","Liberty","Conference USA","turnovers","18"
"2023","Boise State","Mountain West","fourthDowns","11"
"2023","Kansas State","Big 12","passesIntercepted","13"
"2023","Air Force","Mountain West","fumblesRecovered","4"
"2023","Michigan","Big Ten","rushingYards","2536"
"2023","Ball State","Mid-American","possessionTime","23577"
"2023","Southern Mississippi","Sun Belt","puntReturnYards","167"
"2023","Duke","ACC","penalties","73"
"2023","New Mexico State","Conference USA","kickReturns","18"
"2023","James Madison","Sun Belt","rushingYards","1731"
"2023","Arkansas State","Sun Belt","penaltyYards","792"
"2023","Texas A&M","SEC","rushingAttempts","456"
"2023","East Carolina","American Athletic","games","12"
"2023","Middle Tennessee","Conference USA","fumblesRecovered","8"
"2023","Louisiana","Sun Belt","fumblesRecovered","10"
"2023","Nebraska","Big Ten","thirdDownConversions","59"
"2023","Buffalo","Mid-American","passAttempts","394"
"2023","Georgia","SEC","fumblesRecovered","3"
"2023","Middle Tennessee","Conference USA","interceptionTDs","0"
"2023","Oregon","Pac-12","passesIntercepted","12"
"2023","Charlotte","American Athletic","interceptionTDs","1"
"2023","Miami (OH)","Mid-American","passingTDs","16"
"2023","Jacksonville State","Conference USA","puntReturns","18"
"2023","Colorado","Pac-12","games","12"
"2023","Kansas","Big 12","passCompletions","200"
"2023","UNLV","Mountain West","fourthDownConversions","9"
"2023","North Carolina","ACC","kickReturnYards","257"
"2023","Washington","Pac-12","interceptionYards","321"
"2023","Florida State","ACC","passesIntercepted","10"
